image_id,text
MatAn-Apr03-01,возрастает возле Формула Стирлинга в Ом 1-ви п Стирлинга: Формула Подставим ФлаЭйлера-Маккорена
MatAn-Apr03-02,"1-то(1) Ищем С. Знаем, что"
MatAn-Apr03-03,"Мопсио считать, Берем Скугай 2 Существ. переменной Схуай Существ. Я Теорема ПВ тогда суще Существ. Г-эв- проверин ССА) Тогда возьмем В что С-в возьмем Кр Мопсио считать, считать, что С-во"
MatAn-Apr03-04,Ях прид-х Д-во: ОС С Иррациональность Н) - 2 2 . Если Н; ---- -2)
MatAn-Apr03-05,"Ротивор Теорема ационально, Миррациональной 5. Существо Ламберт"
MatAn-Apr03-06,"К-компакт по крыв подходит Возьмем ае к каким-то эх-л Выберем подпокрытие Тогда существ. Эх-лл что П Д-во, И. конечное покрытия покрытие Проверим, Рассм . Нае К шар Эх-ли покрытия Рассм. хе"
MatAn-Apr03-07,противор откр Почти Поткр покрытие противного конечное Теорем не пусто 772 Кл подиокр. пересечение (Х1 К) ф их коняшое -) К Кх-За Извлечем компа
MatAn-Apr03-08,"РФА пересеч К -вполне Назовем это покрытия это пересеч Н биодиокр. метрич УЕБА б"", лишь какой-то бл - пр Ив К-компакт А 2 Назове Назовем Возьмеш противного Возьмем .Е, конечная бз - Колешая И., у Ограничено, Аз И. покрыв. лишь Георем беск. как-вош покрыв. кошшого Пусть Конечная Возьмем"
MatAn-Apr03-09,"все не покрыв, Возьмем (х, Ук) 41 Ик. щесть. Есть Ап-1 больших п последовать покрыв. Тогда при покрыто Кошчмым -) (0 СА-но, Су ФулдаМ если каким-то Кол-ван Их И."
MatAn-Apr03-10,"правиосильи вопр Георема Следствие Ограничено полное 2) К- Секвен вполне Сир-ва 1) Компакт 3) К-вполие -полное ше ар. 38 У. Компакт След усл коми полиота огранич. пограничено, и Замкнуто пр Д-во: Под ) К-Кошиакт Следствие 1. - - - пр-во полного ) К-компакт Секвен полио Комиакт равио правилось полного равнос шетр пр-во, СХЕДствие ограничено Хау с дорф а К-компакт К- вполне метрич"
MatAn-Dec04-01,"Домножим По ф-ле с остатком в Пусть т. . . т- противного в форме Теорема противоречие Тейлора т,пелв . Е - 5(х)-ехр х на п! иррациональной т. - т. п.1), Д-во: От Лаграижа"
MatAn-Dec04-02,"точка (хо-б, Х6-б) Пка, в) минимума, если существ бДО, т.ч. лок. макс, если Хо локального мин Я(Хо) 2 Ях) Лка,в) (х6-б,хо-б) Л (9,в) существ Окр существ Нхе существ минимума, если Хоека,в) Я: Ка,в)-э РК экстремума) б 4 существ. локального Хотыка строгого максимума, если бэо, т.г. бЭО, т.ч. если хо точка локального Функций Экстремумы строгого"
MatAn-Dec04-03,"(Схэ-б, Хэб) Хо точка лок %)-0 не ЭИФФ Пусть для которой Ф-Я неверно Строго в которой Теорема Обратное экстремума) (необходимое Замечания определ мов. условие Эифф Я (х) - 1х1 дифф. ба:ка,в)-эк Возьмем принимает Т.Ферман Экстремуш минимума Экстремума, возраст может быть Если быть Значение Я Экстремумов ХЗ строго Ях)- х бло из наиб. Пусть )"
MatAn-Dec04-04,"Рассм возраст Залиганш Пояснение Экстремума Строго возраст ийп экстремума произв.) Д-во: 1. Если б (хо-б)Хо? на нем б условия, Теорема убывает (достаточные Ск-но, Хо С Гхо, Хотб) точка строгого Зиак в ) Мири Х Ейдхоб) Хо Е(а, в) Строго 1. 1-й Ск-но ГЭО на Хо и Дифф к На нем б Я терминах Э 2. Если Я Я С О И. возраст Рассм Строго Экстремул строгого Залиганшо строго возраст не меняет лок"
MatAn-Dec04-05,"(достат условия ) Е:39,в)-ЭВ Д-во: И-й произв., выраж Форме строк так дифф. в (-) Термшах в 1. Теорема Теорема лок ттк Пеаио в ()хэ блок тах Экстремулс условия экстремума 8""""(хъ)п1 20 Улок тах .) раз Элфо Сп) 2. Е дважды Терминах И-й Я:Са,в)-Як Напишем Тогда 2-й ироизв.) (до стат. Тейлора (п) Флу Экстремума 1."
MatAn-Dec04-06,"уч вниз, а выпуклая Ф-1 выкуклая Пример вверх Выпуклые функции Замечание вогнутая Я нер-во строго Ииогда выпуклыми строгий выпуклыми воогнутые выполняется вышуклая Лиогда назыв Ф-и Онр Зиак в нер-ве Ах,уе , если Выкуп , если Оир. Е Выиуклые 4х,уека, Э строго"
MatAn-Dec04-07,"нер-во Я выкуклая Э Оир т-е. Ис Усил определения Замечание , если муме нер-во ПереФор выполняется выполняется Н Н и с ш и, шек х,уека,в Г- Имули ровка (или Если б -выпуклая точек из Ка,в Если"
MatAn-Dec04-08,"если Нг А Нхуеха,в Я графика Англии Хебо,17, то их хордой, то две точки и через нер-во отрезок получим участком Оир (у, ХНи)7(1-1))Я(ш) Геом. смысл проходящей между Э Определения Геометрический параметриз прямой, взять любые (4,5(ы)) У- ЛИ-1(1-1)Ш А если (6,5(ш)) Коиуаши Концами. б.:ка,в)-ДК Соединить смысл выпуклая ) параметриз Если на графике выполняется нер-во"
MatAn-Dec04-09,Лента о хордах выкуклся трех равиосиль Д-во: Ф А для вынутости Каждое из Более Строгие вышуклости из трех нер-в (и.-л)(Э(4)-У-4) нер-во вымуклости справедливо Замечание Г (3) Сторону в обратную Угл. коэфф. база в)-эР простить как и Н Е) Для строгой
MatAn-Dec04-10,"Я1 (Хо) Замягание Ей т Тогда Существо Следствие. Если Исусхо и огр огр Неире, на отрезке К снизу существуют Д-во: Существов на (хо, в) сверху -д ) Теорема возрастает О Конячные возрастает на (а,х.) Существ нейрер на(а,в) выпукла выкукла первх и ХЕСА,в), то на(а,в) Есям А"
MatAn-Dec04-11,"в любой точке дифф графиком те. Касательная в любой Лежит под А Тогда пусть хсх. Нх,хое(а,в) выиукла Теорема 2: (а,6)-эР на (0, 6). ) пусть Д-во: -)"""
MatAn-Dec04-12,"на Ка,в) и строго вышукла выпукла Э Э. Ка, в) и Эважды выпуклости в Теорема дифф. на (а,в) Тогда нейрер ибн 5(4)-Н(и) Д-во строго дифф. па -) Е выпукла выпукла выкукла выпукла нейрере возрастает возрастает возраст: (и дальше (-) 8 1 Е) Е"" 20 где АЕ(уш) Эважды (и т-и -) Е Критерий 2. Е 5(с)-6) строго вышукла Л. О Э-х хордах). возраст -))"
MatAn-Dec11-01,вошута строго выпуклых 2п-1 пехо на при выиукла на (0) строго строго Строго Я строго или рсо Функций а 7 1 РСО возрастает строго выпукла рД1 то) -тх) или строго Р выпукла выпукла вошута Примеры
MatAn-Dec11-02,"одинаковых выкук Выкинем Йенсена Неравенство Если Е ненуревым Х. слаг, соотв. Левая и выпукла Будем части не изменятся миксы, соотв. Строгий Строго выпука (п.2) выку считать, что правая Тогда Если Е Строго 1Гереход Индукция опред соотв выпуклости"
MatAn-Dec11-03,"литерпретация Центр массы Я: Ка,в)-ЭК Т (хн, Я(ги)) Р точек выпукла Неравенство Йенсена Геометрическая (х9,8 (х,) С. ("
MatAn-Dec11-04,") геометрическое ариФметическое Среднее Среднее среднее Мр степенное гармоническое Д-ть, что Опр. Среднее среднее квадратическое порядка р-1 Упр"
MatAn-Dec11-05,"Если какое-то Можно считать, что Оихтвих2т-н вихи Тогда средних равенство О, а слева 20 Неравенство Справа выпуклая Строго Можно Надо Э-ть, что Йенсен"
MatAn-Dec11-06,"Замегание подставим в степень -Урч Об средними между Неравенство выпукла Строго Йемсеиа Стеренными (УГН-хуп) и возводим Равенство в перво р-д Пусть Подставил в степень Ур )"" и возводило Неравейство между"
MatAn-Dec11-07,Слугай Тогда возводим Р-т Хи Упр. и возводим в 20 Ионять возводим в степень Удко слугаем Слугай равейства Слугай р-9СО Чр-0 СМА степень Уф)
MatAn-Dec11-08,"Тогда (2 (х) пропорц 921 Вг,-,ви вк выкупа Замечание Неравенство Йейсеиа для 5.5 подберем строго Возьмем наборы Возьмем Я(х)-хР Равенство (- Гельдера (Ж) -нер-во"
MatAn-Dec11-09,"Аквк) смысл Геометр. Ак, вк 20 Неравенство Гельдер скал произвед н Гельдера возводим в Секек) векторов С. Коши-Буняковского произвед их Коши-Бу длин Геометр. смысл в квадрат Модуль Неравенство"
MatAn-Dec11-10,р Неравенство Минковского Г СКАСОК Следствие Гельдер
MatAn-Dec11-11,"Функций (а,в)-э АД все Е первообр л одной если ГТ И Ф-и Е Не всякая фя исчисление первообразную Первообразиая Пусть Е - между Значения бка, в 2-Д принимает все имеет 8 1. на всякая первообразную Замечание Теорема пер интеграл на промжутке неопределенной Ахека,в) Опр перемеикой вообразная имеет Неирерывная Д-М позже Функция Интегральное Функция Глава"
MatAn-Dec11-12,"Д-во первообразных Если Ф Яр первообразиая Г 2 . зеленным СЕР Тогда Залегание ГЕФ произв. во Для 2 . Опр. всех () скобочки СЕР Д) Г- з РФ Г., Г Ех) Ах от Ф-и Е Она имеет проверки проверить достаточно Теорема Е первообр. некотор нулевую Рассм Иштегралам первообр. Е Неопред. называется равенства"
MatAn-Dec11-13,"Д-во: 11. (Д. Таблица х"" Ах иииитегралов Д-ва: З. (Ом1х 4. Я -ачс-Уд х - Сэ 10. Я 12. 5"
MatAn-Dec11-14,"Функций Д-во: (Ом .: Ка,в) -Эк :ЛЕА, дев ч"
MatAn-Dec11-15,"первообр. (арифметические имеет НХ-1 В1 70 1 действия с ., хеж первообр 2. 2Г-первообр. первообр Пусть б и еСМА70, то Род имеет неоидед б, д:19, в.) (Иштегр.) Х Л первоф первообр первообр Теорема имеет дня К имеют"
MatAn-Dec11-16,"первообр (замеиа Теорема Я (а, в 7 Его: Ка,в)-эВ Я вадо понять, что неоцредекеииом имеет 5) Ф:ксА)-э (а,в) Эйфференц Следствие перемешиой в Е. Г., С-5(САХ-1В) Тогда С части делили нах"
MatAn-Dec11-17,"имеет первообр по частям) (Формула Иитегри Ед инеет Г Г д первообр для Эд первообр. Тогда Гд Н -первообр Теорема рования Проверим, что дифференцир"
MatAn-Dec27-01,к-5 (-х) К-36 отображ н лии отображ
MatAn-Dec27-02,но следующей уже нет неирерывны в:т произв. Неирерьевна Пример Сп-1 произв
MatAn-Dec27-03,"(х-х) Д -во: 5(п-1) Пусть Пеано Пишен 1 Строгого лок тах 5""(х) п. п-ничетно. Тейлора с в Форме Теорема (хъ) -0 д Зиака Ф-лу при Если П-негетно Экстремуша 2 . Если 1. П-четко стабилизм 1 Если Строгого Лок. тип По тюр. О стабилизм остатком Сх-хо) при эс-эхо Тогда и раз ПЭ2"
MatAn-Dec27-04,"Эшфф. в всех Ролль Надо С , лежащего равенство Надо Существ верно. равен между п-1 Тейлора д(п.)С Теорема (Формула между С , лежащая найдется х, выбору М. форме между д"" лея жд у Тогда с Лаграиж)"
MatAn-Dec27-05,"Строго Нер-во между степенными: Есть степень 49 20 слугай 0-р49. Степенное порядка средними Если рсф, р-во Йейсем Среднее слугай ПОЭставим Скугай выпуклая Ф-Я равеиство Йеиссла"
MatAn-Dec27-06,"снрай степень Уф случай р-029 Урсо Слугай подставим в ,9 нер-во"
MatAn-Dec27-07,"возрастает строго биекция возрастает З. Е. проверим, моиотоика Теорем 4 Непрерывиа во 5 - инъекция Надо Н. А. между Берем неирерьевис Неирерывиа отображ обратим с строго Строго З, строго Надо о-ть, что Тогда во всех( ). обратное противного КМ, М. профессора в строго молот в Э УЕСТ,М) и"
MatAn-Dec27-08,Существ йт возрастает д(4) Существует при Код Р Рассм. возрастает ограничена ограничена выкуклая Скизу вт Теорема Д-во 5
MatAn-Dec27-09,"Если б ненулевым Д-во: Выкшеем все Иксы, соотв. вышукла ГОСХ эстХгх21-4ХиДи)Л набор. Х, р База все нулевые (1-Хп-11)ЕСУ) выкупл Х, равиы строго и просеим Сштаен Переход выпукла Йенсена Неравенство"
MatAn-Dec27-10,"теор. Вейер во Тогда по Предположим, предположил Теорема Неирерывиа Рассм ф-ю Дарб между С найдется ЭИФФ Противор разных Зиаков Я(с) -наимецьшее Ях):-Ях)-Сх Вейерштрасса функции 8 (в)20 С лежит между Пусть для разных Зиаков. Тогда между найдется сета,в), Пусть Значение Д-во: для обергделячиости противор . С, лежащего разных на Га,в 7 Пусть"
MatAn-Feb04-1,Ойт Пример
MatAn-Feb04-2,"Лемма ""(3-х) - )--(х-2) (13-х) зве) х-в Хит-Х Е(В)-Е(к) 1 1 (Х-А)Св-х)Ах Д-во: 5(х)т Н,В) Тогда"
MatAn-Feb04-3,Как выглядит интегральная Сумма расст и трапеций равных Как выглядит 1 . Формула равных Рб 151-м Формула
MatAn-Feb04-4,Замечание. Если погрешности в Лента равноотстоящие до Тогда в Док-во: Формуле (оценка Теорема трапеций )
MatAn-Feb04-5,"Эйлера-Маклорена Е МО для второй Тогда (Я (к-1-1) производной) Лемма Ав АН, АЕ ннмируен Просу Теорема (формула 5 5 Пишем лямму для"
MatAn-Feb04-6,"х"" Ах Примеры"
MatAn-Feb04-7,"огранич Существ. Конягмый Гармонические числа Эйлера числа б-постоянная последоват Существ Ян Н, Ах что Ап огранич бх3(1-5х4) Ах - ви вч т Поймем, Ах Да."
MatAn-Feb12-01,"Одинаково при Следствие. Е, де Е, де С Д-во: б лд себя одинаково 2) 1 х близких 5-О(д) озиагает, некоторого нужно Следствие. расх-ся Нер-во Если С-д 1) означает, (д)и д-0(Р) можно Замешить Признак Замечание 1. Нер сравнения ведут сходится"
MatAn-Feb12-02,Пример- Замяганш. Если АДО не обязательно Т Лет Лх) -0
MatAn-Feb12-03,"Которые неидерывиости? Что делать, если Теорема ГЭС сх-ся абсолютио, то хэАх С. Замечание Б Замечание Бывают Наиример, Сходится означает, что Бывают точек, где нет несколько Бывают интегралы, сходится, если точек, Сходятся ЕССГ9,в). Если иштегралы, неирер Признак С в сх-ся сравнения,"
MatAn-Feb12-04,"Признак Проверим крижаку Гогранич. ДСтатошо имеет огранич Хотим Проверим погранич. Ф-я) дес-Га, т.о.) падо проверить, -Д Та,-00) Т.-к беск малая Е-огранич первообр. слугая, когда сходится сраву Тогда проверить, что моиотоииа следует Дирихле предел поэтому при Осталось Ях)д(х)овх"
MatAn-Feb12-05,"Сущ. и кошечеи условиян Э Р но на отрезке удовлетв Признак -то) локаяьио Д-во"". Гид Эд сходится Дирихле признака условию Дирихле ограничена о граничена огранич. Ф-Я имеет д Абеля неидерывися по Молот. иредея сохранились б, д СГА, то) моиотоина"
MatAn-Feb12-06,"Следствие 5 1 Т) д монотоша ограничена огранич. Ф-8, периодиша с д киризиаку д сходится Га, АНТЗ -), ограничена Д-во:1 Е периодом расх-ср раск-ся 2. Если 5 Г Дирихле т, д. периодична что Р ограничена -) при Проверим непрерывиа с периодом сравилия, расх-ся д!"
MatAn-Feb12-07,"ОАР-1 Слугай сразиаку Ах А что с абс.сх-тью? Слугай 5 Г2ПК-7"", ГПК-5ПЗ Пыпх1 Ах ДО Пример ПП -периодич период Рассм отрезок С период Схугай 5"
MatAn-Feb12-08,то Ах д(х)- бтх Р С сходств Дирихле Замегакш. В Е расх-ся Ах расх-ся Ах моиот до нельзя признаках
MatAn-Feb12-09,"метрика в Метрических Опр 1 ир-во 8,1. расст на ка О Анализ (расстояние) 3) нер-во метрическое расст-на плоскости треугольник Дискретиая Глава простраиствах метрика ( пространства Метрические метрика леитя) Примеры"
MatAn-Feb12-10,"%3 5. 4. Награды которых случай Частный слугай метрика разрядов, Чт ЕГФА треугольщика -1 В-6, вг ---в рожная метрика с д Частный Д Хенхинга Мапхэттеиская 6. Французская железидо нер-во Метрика Мишковского различаются"
MatAn-Feb12-11,"г с (а) ир- ГЭ Д-во: Возьмом 2. Если пусть радиуса Центром Мятрическое Открытый шар ГДО, х-2. противоречие шар правиомериалка Свойства Замкнутый"
MatAn-Feb12-12,"2 . открытое И 2. Пусть Пусть открытых Нае И открытых Х шар- Вр(а)С С И Эла некоторого Ми-во, если Ин- открытое Ик открытое Их открытые Д-во: 1 открытое кол-ва Открытые ВНа) СИ Их Вр(а)СИ, открытые ми-ва 4. Ми-во найдется Ми-во любого конечного З. Их Возьмем объединение Возьмем Очевидио Пересечение Открытый ХШ-во АЕИ - ае числа открытое З. 2 . -) Найдется Теорема Ин-отк"
MatAn-Feb12-13,Возьмем Существенное положим Возьмем Ип проверим Замечание Проверим В 3 4. Вр не является Ряд В
MatAn-Feb19-01,"Откр. Вну Свойства внутренние Содержащихся метрическое ир-во, А. ВНа) -откр ми-во ми-ва объединение внутренности т.2. аЕС объединения Метрическое в А которого Ти Е -) Эгго ир-во среди ми-в из внутренние точка мм-ва утствует Опр точки ми-ва А- внутренняя открытых мм-в, ми-в из А Замечание: О Возьмем Ае тр () Д"" Пусть Д-во: ТпА, А -виутре среди прис А, если мм-ва ми-во А найдется стренность А, Обозначение"
MatAn-Feb19-02,"ТиЕВ АСВ профессор Д-во: Е -)"" А - Д-во: Если мм-в -) и для В ГиА вид лиц-во Замкнутое Придумать дополнение которого Опр открыто мм-во Тив А -объедин - Мн-во, открытое крытое лм -во Н. стремише -), рытое - откр (А ИВ) А-открытое им открытых ГИЧА -открытое Упр.1) 2) пример, Гив АА -Замкиуто"
MatAn-Feb19-03,"Замкнутое кошшо 40 путе мм -во Замкнутое ми-во Замкнутых ми-в) Предположим Замкиутых замкнутые роверим объединение -о ПКРытое Возьмем Пересечение 2 -открытое 4. За ми-в - Замкнутое Противоречие Замкнутых числа ,что -открытое (свойства Замкнутое любого кол-ва За Открытые замкнутый шар мм-в-Замкнутое хф Вр Теорема ми-ва 2. яш-в- открытые противное ГЭС, -Замкнутое Имкнутые"
MatAn-Feb19-04,"6-открытое, с всех 7 содержив Ми-во , ф "" Пусть -открытое этих -Замкнутое пересеч 1. СЕАДА Миожество замкнутых некоторое пересечение Содержащих мм -во Свобиге Замкнутое Обозначение Свойства Опр. 2. СЕА -Замкнутое (СЕА -) ХФСЕН мкнутое Теорема СЕА Гн ""Э"" Пусть хе 2. СЕА-1 Замыкания СЕА -) Замкнутое содержащее А. С Э СЕА (ХХА) Х 16 -Замкнутое Гн А Замыкание Замкну Е, где Р В. А-Замкнутое А -"
MatAn-Feb19-05,"4. (Х1в)-) Х1 сев может мм-в Тив Д- ть, что В -д какое наибольшее Ги ЕСЕА, УПЕСХ 1А) Д СЕ (А О ГнЕ(ХВ) кришер, Тич 2. придумать кол-во какое Св может на учиться? ССА когда С СЕ В различных Ширишер, когда Упр Д-во: АСВ - - . СЕА, ГиЕА, СЕ"
MatAn-Feb19-06,"Х Е А АЛЯ любого ХЕ СЕА газ Д-во: ХЕСЕА Ф АД А Вг(х) 7 Ф Иа Теорема радиуса предельных точка А , Опр. центрам - Х 1 любого 1.0 в (-) а Окрестность любой Содержатся окр-ти Тив Проколотая Тив Обозначение точки ми-ва А. Обозначение проколотой шарик 7 Б Их Л А 7 Е ЭЛЯ ДА окрть (0) содержатся если в Предельная А-СЕА Е) Ф А С В Д-во "". А-Замка ) Мн-ва"
MatAn-Feb19-07,"7ф предположим же (АОВ) и 6 -) -) хев Вз (х) Надо д-ть, что хеВ пересекается с В Вообще людей (АиВ)-А иВ"" Г , Возьми х 4. им, что ХФА!"
MatAn-Feb19-08,"назовам В (х) содержится окр-ти В больших по строго убывает ХНСА отличаются на один беском кол-во . . назовел ее Х1 (мм-ва А, т.г. строго последоват точки отличаются Следствие условия А, очевидно Следующие Теорема равиосильных беской кол-во при убывает последовать худ. содержится их А, 1 -)4 4 Конечное , ХпСА, т.г. Имеет нед: З. В (х) Рассм существ точее из Д. Севиадают ) т ж из А, Состоит из Существо пазовем"
MatAn-Feb19-09,"открыто Открыто открытое в Тогда Теорема открытое Д-во: 1. -)"" А Кэс -тачой радиус, в ир-ве и подир-ве) метрич Возьмем И. А - открыто кр-во метрическое (Х, Ф) (Х,5)- лейтриг. 2. А -Замкнуто подир-ве) Замкнутое в"
MatAn-Feb19-10,"мм-вах в КПИРЭ Тогда ве и подир-ве) Теорема А-Замкиуто Замкнутое в 2. А -Замкиуто А. А - открыто (0, 1) - открыто открытое (об открытых года. 4-метриг. пр-во С- 6-07Крыто (1) Существо ир-во Примеры Замкнутое в У 10, 1) открытое"
MatAn-Feb19-11,"Их Опр. Х- И д Примеры векторное А Укр. Р ир-во р 2 1 1х1 -норма 11 х11 НХЕРК (нер-во 111 - норма З. Кер-во Мииховского жевского Уир проверить Нх, УЕХ мугольиика) Св-вс 1-3. 4 Ихту11Е Их1-НУИ кер-во Юхе 1. кер-во Д -это Х, если УжЕХ НХЕ"
MatAn-Feb19-12,"Примеры 2х, у ир- Уг- т ХАУА ТХА УА )- (У,х) Скалярное векторное 8(х) Ях) Ах произведение, На ЕР во ир-во Нху Е Х ее, если АхеХ Окр. Нх, уе Х"
MatAn-Feb19-13,"(А) 1. Нер-во Свойства Буияковского дискримиаит Коши- квадратный ГДХ, хх) осталось КБШ трех Х-4 ЧУ, Ухэн ЕСУ,У) - -норма Д -во: Нер- э) корня имеет не более Д-во: Д д больше одного корня трехчлен после Сокращения Нер-во А. -к"
MatAn-Feb19-14,"Ч Их-УИ-Н ИУН во Д Их-УМ- Д-ть, что норма некоторым ская . Д-во: надо УИ порожЕдается Упр Д-76, что норма Й Нер- НхуеХ метрика в Х произведением норма Е)"
MatAn-Feb26-01,"Д-во: вет равносильных Единственность пределов содержится Свойства предел послед, пр-ве полученной число 1. Определения любого шара С исследовать Вне Теорема лишь 82. центром веш 1. раве и членов метрич перемешивания кошшое метрит. Предел предела пр- шара С та еже Эти Т.е. если"
MatAn-Feb26-02,"иредея, содержится вет иодиоСпед. членов, -ограничениое перестановкой Каком-то шаре предел ее послед"", имеет стремится к А Яш-во, получения то ма ограничеис Д-во: ОСЦ -а, вот Шело челов последних кочешое К.:-тахбу 6. Каком-то (хц,а),4 0 Если последовать 4. З. бхи в 5. Уч Хет хц -а также Вне 9. Если вт 10 . Если в т также равеи 4 Если Яз(а) Кочягиое"
MatAn-Feb26-03,"пределами ЕХ , огранич. 1. Отт 3. вот об действиях арифм 4. Х -норм пр-во, Д-60: 1. 1 Стт И - И 2(0, 0)- 11АИ Яйт хи -а та графи действиях более Тогда ИУиИ-Н АИ М Уп-6И Совот Их11-11а11 произв Л., МЕД Теорема пр-ве богранич. нормир: скалярное произв л"
MatAn-Feb26-04,"если Хи Ойт хл Со1) В РФ -0 покоорд исследовательность Совиадают (Хп ,Хщ)Е Сх-ть и СХ-То Хп(б)-А хп) сх-ся к а, Ейт Е 1Хц""-а А. Х. А. Опр Ойт Хук) Теорема Покоординатная нокоорд. покоордииатио норме (а) Опр Фуидамеитальная"
MatAn-Feb26-05,"Фуидам Вохьмем и последовать 6граничена Возьмем Свойства 1. последоват З. З. Лусть а) Е НТЭМ (хш, а)ЕЕ последоват есть Зафикс. Если у 2. Отху-а -), воспед фуидам -) 8 Нм, п 3х1 подпослед, Фундаментальиа Сходящаяся Апгл"
MatAn-Feb26-06,"исследоват НТ, п ЗЛУ если ГКФ - полное норме ве т (к)- Хт РА - Ш словая ИХи-Хш 11 Е полным, в О покоордииатив СЛ-но, предела РВ, д иноетел 2-метрическое Д не полное Д-во: С1-но, Шеловая последняя НЕго Аск): но не имеет Любая фуидам ир-во ир-во Фуидамеитальис ир-во последоват иноет Фуидам Оло Пример Пусть Теорема Фуидам . называется Пример"
MatAn-Feb26-07,"найдется пре -) Уи и вЕХ в Гу нее есть -)"" г) у м-ва Уг-ае (4,8) -полное точку в мм-ва найдется УпЕХ, имеет в Ч метрическое ( -) неделс Уп-Фуидам -полиое иред Замкнуто Д-60 У фуидам Замечание Возьми фуидам послед У -замкнуто идея точка Фуидам определ в . в Х дельная"
MatAn-Feb26-08,"Компактность выкинули покрытие покрытием подпокрытие (комиактное какого-то Ям-ва А. Опр покрытия К Ми-Ми покрытия, Опр любого покрытие Открытыми К -компакт открытыми извлечь покрытие - ножио мм-во) ми-ни Открытое Компакт подиокрытие если из какое-то кол-во А из покрытия рытие если Оир 8 3 А, В. осталось мм-в извлечь коночное конечное Оир. А, Вл. кол-во"
MatAn-Feb26-09,"выбрать иодиокр. СХ, 5) Теорема Замкнутое Д-во в СУ, Ф) К-компакт в ное иодиокр. в СК, Д) шетриг пр-во компакт 6 (Х,5) ограничено компактов. подми-во (Х,5)- х. -) К свойствах Моисио Ц -открыты Открытые в 2. К К-компакт в (У Откр. покр. в (Х,5) -) З. (Е) К-кошиакт выбрать кошшое тогда ЭС, выбрать Можно вы Комиакта- компа кошшое компакт"
MatAn-Feb26-10,"(х) - Открытое Кошчиое откр. покрытие и покажем, что Возьмем АЕХ К Возьмем по граничено покрытие подми-во Замкнутое Покажем К-компакт Выберем Выбергм кошшое рассм открыто НАСХ 1К ф подиокр. комиакта- кошжое Выберем для некоторого Вгг.(а) П В АЕК Замкнутость. Возьми компакт покрытие Надо подиокр. ограничено Д-во: 2. хск Возьмен Ограниченность"
MatAn-Feb26-11,"компакт открытое можно Рассм кош шое - Компакт В -Замкнуто подиокр. Комиакта- покажим Замкнутое Из-открытые Ег-юму З., покрытие компакт покрытие можно выделить Д-во выделить К.- Комиакт подшиво ВС ИИ -) -открытое -открытое"
MatAn-Feb26-12,"Кхо комиакты (ТК-7 Ф. Кл Предположим, что Это Откр покрытие пересечение неиз стье К.- семейство компактов в Компакт Х 1К) кол-ва неиустой и Кочягое Кл любого неиусто. Д-во: 0-во : Зафикс Тогда противоречие А НХ, Следствие иодиокр. -ф Выберем Коче ф Теорема Тогда"
MatAn-Feb26-13,"коняшое нельзя пред. точку компакта имеет Замкнут какой-то точке из точек СХ из любой Замкнуто Предположим, покрытие выбрать Секв. компакт Замки покрытия Рассм. метрическое ид-во Противоречие можно подш-во Комиактиве, открытое выкинуть подиоспловат Возьмем Вся кое Жельзя А С В Д А-Комиакт и оследоват Точек лм-ва К пред подш-во из этого беской подШи-во Замечание Теорема Д-во: К- имеет выбрать ф из этого покрытия Ез СХ, 5) - Рассм. открытое Найдется предельися , СХ-ся к Оир. Д-во: К-компакт, К - секвециально бесконечное подпокрытие"
